date,code,close,volume,amount,turn,pctChg
2025-01-13,sh.601700,4.1,6748400,27496022.0,0.5908,-0.2433
2025-01-14,sh.601700,4.24,9251300,38867047.0,0.8099,3.4146
2025-01-15,sh.601700,4.22,6935800,29208470.0,0.6072,-0.4717
2025-01-16,sh.601700,4.23,7330027,31053117.02,0.6417,0.237
2025-01-17,sh.601700,4.25,5617700,23765202.0,0.4918,0.4728
2025-01-20,sh.601700,4.35,9843727,42593614.56,0.8618,2.3529
2025-01-21,sh.601700,4.31,7228600,31157627.0,0.6328,-0.9195
2025-01-22,sh.601700,4.29,5589200,24027478.0,0.4893,-0.464
2025-01-23,sh.601700,4.27,6681300,28842421.0,0.5849,-0.4662
2025-01-24,sh.601700,4.26,8365700,35541204.0,0.7324,-0.2342
2025-01-27,sh.601700,4.26,8970800,38736171.0,0.7854,0.0
2025-02-05,sh.601700,4.3,8336800,35730455.0,0.7299,0.939
2025-02-06,sh.601700,4.38,9500714,41178499.58,0.8318,1.8605
2025-02-07,sh.601700,4.45,10327600,45720128.0,0.9041,1.5982
2025-02-10,sh.601700,4.47,8837800,39380961.0,0.7737,0.4494
2025-02-11,sh.601700,4.44,8126700,35976852.0,0.7115,-0.6711
2025-02-12,sh.601700,4.45,6940703,30839337.29,0.6076,0.2252
2025-02-13,sh.601700,4.4,7651802,33891932.8,0.6699,-1.1236
2025-02-14,sh.601700,4.36,8721000,38237832.0,0.7635,-0.9091
2025-02-17,sh.601700,4.46,11979487,52982278.6,1.0488,2.2936
2025-02-18,sh.601700,4.39,11455976,50986839.4,1.0029,-1.5695
2025-02-19,sh.601700,4.47,9719202,43303774.88,0.8509,1.8223
2025-02-20,sh.601700,4.52,11838503,53144516.41,1.0364,1.1186
2025-02-21,sh.601700,4.5,11328405,50855664.45,0.9918,-0.4425
2025-02-24,sh.601700,4.48,9354700,41858944.0,0.819,-0.4444
2025-02-25,sh.601700,4.46,6099200,27206638.0,0.534,-0.4464
2025-02-26,sh.601700,4.49,7729602,34648803.96,0.6767,0.6726
