date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sh.601877,22.03,22.13,21.6,21.81,11610361,252866740.2,0.5403,-0.9537
2025-02-11,sh.601877,21.8,21.86,21.55,21.74,7830027,169651935.36,0.3644,-0.321
2025-02-12,sh.601877,21.65,21.9,21.64,21.89,7615206,165758494.66,0.3544,0.69
2025-02-13,sh.601877,21.85,21.96,21.72,21.74,7594211,165918563.34,0.3534,-0.6852
2025-02-14,sh.601877,21.73,22.09,21.72,21.99,8474217,185967679.73,0.3943,1.15
2025-02-17,sh.601877,22.0,23.6,21.67,23.5,46397680,1069644782.59,2.1591,6.8668
2025-02-18,sh.601877,24.19,24.55,23.03,23.41,64556322,1532268744.43,3.0041,-0.383
2025-02-19,sh.601877,23.11,25.69,23.0,25.04,72753203,1759249827.71,3.3855,6.9628
2025-02-20,sh.601877,24.93,24.99,24.37,24.39,43953392,1080600728.06,2.0453,-2.5958
2025-02-21,sh.601877,24.37,24.74,24.13,24.5,38193823,934055043.4,1.7773,0.451
2025-02-24,sh.601877,24.58,24.85,24.01,24.79,37573086,918376358.15,1.7484,1.1837
2025-02-25,sh.601877,24.44,24.67,24.04,24.12,27191722,662271587.02,1.2653,-2.7027
2025-02-26,sh.601877,24.12,24.49,24.09,24.18,22908014,555348672.14,1.066,0.2488
2025-02-27,sh.601877,24.17,24.25,23.68,23.86,19939879,477705059.3,0.9279,-1.3234
2025-02-28,sh.601877,23.79,24.0,23.3,23.37,18501232,436582268.55,0.8609,-2.0536
2025-03-03,sh.601877,23.45,23.67,23.07,23.18,18449597,430926943.0,0.8585,-0.813
2025-03-04,sh.601877,23.05,23.3,23.01,23.25,12870199,298597463.98,0.5989,0.302
2025-03-05,sh.601877,23.24,23.28,22.9,22.96,15144786,348701633.24,0.7047,-1.2473
2025-03-06,sh.601877,23.08,23.88,22.94,23.74,27855898,653954340.15,1.2962,3.3972
2025-03-07,sh.601877,23.6,23.84,23.49,23.69,18539850,438504025.63,0.8627,-0.2106
2025-03-10,sh.601877,23.68,23.95,23.6,23.79,14832410,352333119.82,0.6902,0.4221
2025-03-11,sh.601877,23.6,23.95,23.52,23.95,13729600,326310457.88,0.6389,0.6726
