date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sh.600536,51.09,51.79,49.8,50.74,51081141,2586420517.94,6.0551,0.7746
2025-02-11,sh.600536,50.24,50.24,49.19,49.23,34073999,1690045990.86,4.0391,-2.976
2025-02-12,sh.600536,48.71,50.27,48.65,50.02,31609183,1574725798.3,3.7469,1.6047
2025-02-13,sh.600536,49.89,50.8,48.4,49.46,37722575,1865704339.53,4.4716,-1.1196
2025-02-14,sh.600536,49.2,51.45,49.07,51.17,53708048,2719872316.94,6.3665,3.4573
2025-02-17,sh.600536,51.33,52.8,50.3,51.02,56816489,2927720035.7,6.7346,-0.2931
2025-02-18,sh.600536,50.6,54.2,50.6,51.55,68150786,3572844265.22,8.078,1.0388
2025-02-19,sh.600536,51.54,52.5,49.16,52.48,50222806,2560395289.58,5.953,1.8041
2025-02-20,sh.600536,52.4,52.4,50.88,51.17,36165075,1860776685.8,4.2867,-2.4962
2025-02-21,sh.600536,51.33,53.28,49.61,52.65,62138256,3194255297.59,7.3654,2.8923
2025-02-24,sh.600536,52.65,52.94,51.38,51.98,38972785,2028275672.22,4.6195,-1.2726
2025-02-25,sh.600536,51.0,54.0,50.51,51.82,49488674,2582231079.2,5.866,-0.3078
2025-02-26,sh.600536,51.4,51.7,50.66,51.09,31384558,1603904195.7,3.7201,-1.4087
2025-02-27,sh.600536,51.3,51.3,49.52,49.9,29381167,1474742574.0,3.4826,-2.3292
2025-02-28,sh.600536,49.65,49.89,46.48,46.51,37139283,1775573281.17,4.4022,-6.7936
2025-03-03,sh.600536,46.59,47.6,45.89,46.69,23316469,1092461642.02,2.7637,0.387
2025-03-04,sh.600536,45.88,47.5,45.85,47.35,18130071,852993367.25,2.149,1.4136
2025-03-05,sh.600536,47.35,48.0,47.01,47.44,17225575,818115714.54,2.0418,0.1901
2025-03-06,sh.600536,47.78,49.31,47.77,48.85,28321275,1375764901.4,3.357,2.9722
2025-03-07,sh.600536,48.5,48.84,47.58,47.8,22425848,1078539609.87,2.6582,-2.1494
2025-03-10,sh.600536,47.6,47.6,46.31,46.9,18209628,853591846.08,2.1584,-1.8828
2025-03-11,sh.600536,46.27,47.13,46.02,46.75,12854189,599168408.88,1.5236,-0.3198
