date,code,open,high,low,close,volume,amount,turn,pctChg
2025-02-10,sz.301002,17.05,17.43,16.97,17.34,1231986,21162735.81,1.6864,2.0
2025-02-11,sz.301002,17.34,17.5,17.07,17.12,880805,15109677.95,1.2057,-1.2687
2025-02-12,sz.301002,17.29,17.29,16.84,17.1,1202030,20416621.0,1.6454,-0.1168
2025-02-13,sz.301002,17.2,17.2,16.7,16.84,1083840,18278219.2,1.4836,-1.5205
2025-02-14,sz.301002,16.83,17.0,16.76,16.9,692080,11686462.3,0.9474,0.3563
2025-02-17,sz.301002,16.83,17.22,16.81,17.06,1158740,19736391.9,1.5861,0.9467
2025-02-18,sz.301002,17.16,17.37,16.46,16.51,1376760,23201961.4,1.8846,-3.2239
2025-02-19,sz.301002,16.43,17.28,16.43,17.2,1604910,27264442.2,2.1969,4.1793
2025-02-20,sz.301002,17.2,17.61,17.14,17.6,1537805,26776069.25,2.105,2.3256
2025-02-21,sz.301002,17.79,18.05,17.5,17.9,2461570,43756343.9,3.3695,1.7045
2025-02-24,sz.301002,18.09,18.09,17.5,17.91,2658050,47280834.7,3.6385,0.0559
2025-02-25,sz.301002,17.9,18.14,17.59,17.72,2101405,37532536.25,2.8765,-1.0609
2025-02-26,sz.301002,17.82,18.34,17.71,18.2,2064656,37313623.5,2.8262,2.7088
2025-02-27,sz.301002,18.19,18.34,17.58,17.87,1955231,35035749.75,2.6764,-1.8132
2025-02-28,sz.301002,17.87,18.04,17.09,17.14,1805330,31472778.1,2.4712,-4.0851
2025-03-03,sz.301002,17.19,17.86,17.1,17.41,1625800,28493050.6,2.2255,1.5753
2025-03-04,sz.301002,17.24,17.72,17.24,17.6,1030720,18095031.2,1.4109,1.0913
2025-03-05,sz.301002,17.6,17.69,17.2,17.6,1038920,18137753.7,1.4221,0.0
2025-03-06,sz.301002,17.6,18.06,17.6,17.86,2115400,37737677.6,2.8957,1.4773
2025-03-07,sz.301002,17.95,18.09,17.65,17.77,1222860,21851854.24,1.6739,-0.5039
2025-03-10,sz.301002,17.99,18.06,17.61,17.74,1193000,21278088.6,1.633,-0.1688
2025-03-11,sz.301002,17.63,17.8,17.27,17.64,1370536,24049674.72,1.8761,-0.5637
