code,name,price,volume
600000.SH,浦发银行,10.17,44651100.0
600004.SH,白云机场,9.11,14763552.0
600006.SH,东风股份,7.38,46614225.0
600009.SH,上海机场,32.49,8988414.0
600011.SH,华能国际,6.72,64406761.0
600012.SH,皖通高速,17.71,7966514.0
600015.SH,华夏银行,7.22,41575015.0
600018.SH,上港集团,5.56,27567971.0
600019.SH,宝钢股份,7.08,116898643.0
600021.SH,上海电力,8.66,48165260.0
600023.SH,浙能电力,5.49,39968956.0
600025.SH,华能水电,8.63,41311174.0
600026.SH,中远海能,11.18,36463479.0
600027.SH,华电国际,5.59,62324621.0
600028.SH,中国石化,5.78,179805187.0
600029.SH,南方航空,5.85,78052096.0
600030.SH,中信证券,27.33,159499112.0
600031.SH,三一重工,18.2,137167392.0
600032.SH,浙江新能,7.55,31221303.0
600036.SH,招商银行,42.05,70542365.0
600037.SH,歌华有线,7.57,28349600.0
600038.SH,中直股份,36.18,6988390.0
600039.SH,四川路桥,7.34,38560382.0
600048.SH,保利发展,8.7,217380800.0
600050.SH,中国联通,6.25,715221083.0
600054.SH,黄山旅游,11.43,6528799.0
600055.SH,万东医疗,17.33,8843097.0
600056.SH,中国医药,10.6,13537640.0
600057.SH,厦门象屿,5.93,8909925.0
600058.SH,五矿发展,7.77,23947440.0
600059.SH,古越龙山,8.37,10263695.0
600060.SH,海信视像,23.05,10051500.0
600061.SH,国投资本,7.1,38864711.0
600062.SH,华润双鹤,18.53,13305000.0
600064.SH,南京高科,7.04,15395632.0
600066.SH,宇通客车,26.35,22160442.0
600071.SH,凤凰光学,21.01,8270300.0
600072.SH,中船科技,12.3,27712915.0
600073.SH,光明肉业,6.43,13507022.0
600078.SH,澄星股份,5.35,10105200.0
600079.SH,人福医药,19.89,17149216.0
600080.SH,金花股份,7.76,7834136.0
600081.SH,东风科技,11.9,15494691.0
600084.SH,中信尼雅,5.58,7378500.0
600085.SH,同仁堂,36.1,9697185.0
600088.SH,中视传媒,16.6,5982340.0
600089.SH,特变电工,12.07,43956156.0
600095.SH,湘财股份,6.73,26668670.0
600096.SH,云天化,20.9,29394777.0
600098.SH,广州发展,6.09,13718832.0
601001.SH,晋控煤业,11.53,15499866.0
601006.SH,大秦铁路,6.7,52920297.0
601007.SH,金陵饭店,6.77,6112000.0
601009.SH,南京银行,10.1,29303938.0
601012.SH,隆基绿能,16.71,112993068.0
601019.SH,山东出版,10.1,7065521.0
601020.SH,华钰矿业,15.26,68339501.0
601021.SH,春秋航空,53.77,5191365.0
601022.SH,宁波远洋,7.8,5517961.0
601028.SH,玉龙股份,11.24,20939576.0
601033.SH,永兴股份,14.07,6405900.0
601038.SH,一拖股份,14.25,8854800.0
000001.SZ,平安银行,11.53,94908806.0
000002.SZ,万 科Ａ,7.75,272679023.0
000004.SZ,国华网安,12.08,7871400.0
000006.SZ,深振业Ａ,6.38,41184327.0
000007.SZ,全新好,6.24,5837866.0
000009.SZ,中国宝安,8.55,31648527.0
000011.SZ,深物业A,8.31,5730301.0
000014.SZ,沙河股份,9.95,6077263.0
000016.SZ,深康佳Ａ,5.24,129818252.0
000017.SZ,深中华A,5.52,10729738.0
000019.SZ,深粮控股,6.48,5113603.0
000021.SZ,深科技,20.04,88877373.0
000025.SZ,特 力Ａ,16.08,5018198.0
000026.SZ,飞亚达,10.92,13022982.0
000027.SZ,深圳能源,6.23,17580207.0
000028.SZ,国药一致,25.97,5039014.0
